ELISANGELA MARIA RODRIGUES ROCHA,3
ELITON SOUTO DE MEDEIROS,4
ELIZABETH CHRISTINA DE ANDRADE LIMA,4
ELIZANILDA RAMALHO DO REGO,1
ELQUIO ELEAMEN OLIVEIRA,2
ELRI BANDEIRA DE SOUSA,1
EMEIDE NOBREGA DUARTE,1
EMILIA DE RODAT FERNANDES MOREIRA,6
EMILIA MARIA DA TRINDADE PRESTES,7
EMMANUELLE ARNAUD ALMEIDA,2
ENEAS RICARDO DE MORAIS GOMES,6
ENEIDA OLIVEIRA DORNELLAS DE CARVALHO,1
ENOQUE FEITOSA SOBREIRA FILHO,12
ERALDO ALMEIDA LIMA JUNIOR,6
ERCULES EPAMINONDAS DE SOUSA TEOTONIO,4
ERENILDO JOAO CARLOS,11
ERIK ALENCAR DE FIGUEIREDO,6
ERINALDO ALVES DO NASCIMENTO,2
ERIVALDO PEREIRA DO NASCIMENTO,3
EUNICE SIMOES LINS,3
EVANDRO LEITE DE SOUZA,11
EVANGELINA MARIA BRITO DE FARIA,2
EVERALDO SOUTO DE MEDEIROS,2
EVERTON LEANDRO GALDINO ALVES,1
EVERTON VIEIRA DA SILVA,5
EXPEDITO FERRAZ JUNIOR,4
FABIANA CARDOSO DE SIQUEIRA,1
FABIANA DE ANDRADE CAVALCANTE OLIVEIRA,2
FABIANA LOPES ROCHA,1
FABIANA SENA DA SILVA,3
FABIANO CUSTODIO DE OLIVEIRA,1
FABIANO SALVADORI,1
FABIO ANDERSON PEREIRA DA SILVA,5
FABIO CORREIA SAMPAIO,2
FABIO HENRIQUE GOMES RIBEIRO,4
FABIO LEAL DE MELO DAHIA,3
FABIO MARQUES DE SOUZA,4
FABIO REIS DOS SANTOS,2
FABIO RODRIGO FERREIRA NOBRE,1
FABIO YUZO NAKAMURA,1
FABIOLA DA SILVA ALBUQUERQUE,4
FABIOLA DE SOUSA BRAZ AQUINO,2
FABIOLA DIAS DA SILVA CURBELO,1
FABRICIO POSSEBON,6
FARINALDO DA SILVA QUEIROZ,4
FAUSTHON FRED DA SILVA,2
FAUSTINO TEATINO CAVALCANTE NETO,1
FERNANDA LEMOS,9
FERNANDO ANTONIO ABATH LUNA CARDOSO CANANEA,6
FERNANDO CEZAR BEZERRA DE ANDRADE,3
FERNANDO FERNANDES VIEIRA,4
FERNANDO FIRMINO DA SILVA,4
FERNANDO GUILHERME PERAZZO COSTA,6
FERNANDO JOAQUIM FERREIRA MAIA,2
FERNANDO SCHRAMM,2
FILLIPE SILVEIRA MARINI,2
FILOMENA MARIA GONCALVES DA SILVA CORDEIRO MOITA,2
FLANK DAVID MORAIS BEZERRA,6
FLAVIA DE OLIVEIRA PAULINO,4
FLAVIA DE PAIVA MEDEIROS DE OLIVEIRA,4
FLAVIA FERREIRA PIRES,3
FLAVIO FREITAS BARBOSA,2
FLAVIO PERAZZO BARBOSA MOTA,1
FLAVIO PEREIRA DE OLIVEIRA,3
FLÁVIO LUIZ HONORATO DA SILVA,12
FRANCINALDO DO MONTE PINTO,1
FRANCISCA ZULEIDE DUARTE DE SOUZA,7
FRANCISCLEUDO BEZERRA DA COSTA,4
FRANCISCO ANTONIO BELO,4
FRANCISCO BEZERRA NETO,2
FRANCISCO DE ASSIS DE BRITO,5
FRANCISCO DE ASSIS SALVIANO DE SOUSA,4
FRANCISCO EDUARDO VIEIRA DA SILVA,2
FRANCISCO FERREIRA DANTAS FILHO,8
FRANCISCO JOSE CORREIA FARIAS,2
FRANCISCO JOSE DA COSTA,7
FRANCISCO VILAR BRASILEIRO,4
FRANCIVALDO GOMES MOURA,2
FRANKLIN DE SOUZA RAMALHO,5
FRANKLIN DELANO SOARES FORTE,3
FREDYS ORLANDO SORTO,4
GABRIEL RODRIGUES NETO,3
GABRIELA MARIA CAVALCANTI COSTA,2
GABRIELA NORONHA DE TOLEDO,2
GELMIRES DE ARAUJO NEVES,3
GEORGE RODRIGO BELTRAO DA CRUZ,1
GEOVANI SOARES DE LIMA,2
GERALDA MEDEIROS NOBREGA,8
GERALDO EDUARDO GUEDES DE BRITO,2
GERD BRUNO DA ROCHA,1
GESINALDO ATAIDE CANDIDO,12
GICIANE CARVALHO VIEIRA,1
GILBERTO FARIAS DE SOUSA FILHO,3
GILBRAZ DE SOUZA ARAGAO,3
GILCEAN SILVA ALVES,4
GILFRANCO LUCENA DOS SANTOS,1
GILMAR TRINDADE DE ARAUJO,3
GILSON BARBOSA ATHAYDE JUNIOR,4
GILVAN DE MELO SANTOS,1
GIORVAN ANDERSON DOS SANTOS ALVES,3
GISELE ROCHA CORTES,2
GIUSEPPE TOSI,2
GIVANILDO ALVES DE AZEREDO,4
GLAUBER DE LUCENA CORDEIRO,1
GLEDSON ELIAS DA SILVEIRA,1
GLORIA DE LOURDES FREIRE RABAY,4
GRACIELE DA SILVA CAMPELO BORGES,4
GRACY KELLI MARTINS GONCALVES,3
GUIDO LEMOS DE SOUZA FILHO,2
GUILHERME ATAIDE DIAS,2
GUILHERME BARBOSA SCHULZE,4
GUSTAVO BARBOSA DE MESQUITA BATISTA,3
GUSTAVO BARBOSA LIMA SILVA,4
GUSTAVO FERREIRA DA COSTA LIMA,5
GUSTAVO HENRIQUE MATOS BEZERRA MOTTA,1
HAMILCAR JOSE ALMEIDA FILGUEIRA,2
HANNALICE GOTTSCHALCK CAVALCANTI,4
HANS RAJ GHEYI,4
HARLEY DA SILVA ALVES,1
HEBER PIMENTEL GOMES,12
HEBER SIVINI FERREIRA,2
HELDER FARIAS PEREIRA DE ARAUJO,1
HELENO BISPO DA SILVA JUNIOR,2
HELEODORIO HONORATO DOS SANTOS,1
HELVIA WALEWSKA CASULLO DE ARAUJO CARVALHO,1
HEMERSON IURY FERREIRA MAGALHAES,4
HEMILIO FERNANDES CAMPOS COELHO,4
HENRY IURE DE PAIVA SILVA,1
HENRY PONCIO CRUZ DE OLIVEIRA,5
HERICA PAIVA PEREIRA,3
HERMAN MARTINS GOMES,3
HERMANO DE FRANCA RODRIGUES,10
HERMES ALVES DE ALMEIDA,2
HIDELBRANDO JOSE FARKAT DIOGENES,3
HILTON MARTINS DE BRITO RAMALHO,4
HUGO LEONARDO DAVI DE SOUZA CAVALCANTE,1
HUGO ORLANDO CARVALLO GUERRA,4
HYGGO OLIVEIRA DE ALMEIDA,3
IANA ALEXANDRA ALVES RUFINO,1
IARA FERREIRA DE MELO MARTINS,2
IDALINA MARIA FREITAS LIMA SANTIAGO,1
IEDA MARIA GARCIA DOS SANTOS,8
IGARA OLIVEIRA LIMA,2
IGO PAULINO DA SILVA,2
ILDA ANTONIETA SALATA TOSCANO,1
INACIO JOSE CLEMENTINO,2
INGRID MOURA WANDERLEY,1
IRAQUITAN DE OLIVEIRA CAMINHA,3
ISA MARIA FREIRE,4
ISAAC ALEXANDRE DA SILVA,2
ISAAC SOARES DE FREITAS,4
ISABEL LAUSANNE FONTGALLAND,4
ISABELLA CHIANCA BESSA RIBEIRO DO VALLE,1
ISABELLE CAHINO DELGADO,1
ISAC ALMEIDA DE MEDEIROS,1
ISIS TATIANE DE BARROS MACEDO VELOSO,2
ITALO FITTIPALDI,5
ITAMAR FERREIRA DA SILVA,3
IVAN TARGINO MOREIRA,5
IVONETE ALVES BAKKE,1
IVONETE BATISTA DOS SANTOS,3
IVONILDES DA SILVA FONSECA,1
IZABEL FRANCA DE LIMA,3
JACINTO DE LUNA BATISTA,4
JACIRA DOS SANTOS OLIVEIRA,2
JACOB SILVA SOUTO,3
JACYARA FARIAS SOUZA MARQUES,2
JAILANE DE SOUZA AQUINO,4
JAILTON MACENA DE ARAUJO,2
JAIME ALVES BARBOSA SOBRINHO,2
JAIRO ROCHA DE FARIA,1
JALDES REIS DE MENESES,10
JANINE MARTA COELHO RODRIGUES,8
JARDEL DE FREITAS SOARES,1
JEAN CARLO DE CARVALHO COSTA,7
JEANE FELIX DA SILVA,6
JEFFERSON COSTA E SILVA,5
JEVUKS MATHEUS DE ARAUJO,6
JOABSON NOGUEIRA DE CARVALHO,1
JOANA BELARMINO DE SOUSA,1
JOANA COELI RIBEIRO GARCIA,2
JOAO AGNALDO DO NASCIMENTO,12
JOAO ALVES DE LIMA,2
JOAO ARTHUR BRUNET MONTEIRO,1
JOAO AUGUSTO OSHIRO JUNIOR,2
JOAO BATISTA GONCALVES BUENO,3
JOAO CARLOS GOMES BORGES,2
JOAO DE LIMA GOMES,1
JOAO MARCOS BEZERRA DO O,10
JOAO MIGUEL DE MORAES NETO,3
JOAO RAFAEL LUCIO DOS SANTOS,2
JOAO WANDEMBERG GONCALVES MACIEL,2
JOEDLA RODRIGUES DE LIMA,2
JOEDSON SILVA DOS SANTOS,7
JOEL SILVA DOS SANTOS,1
JOHN KENNEDY GUEDES RODRIGUES,3
JOHNNI LANGER,3
JONAS OTAVIANO PRACA DE SOUZA,4
JORDEANA DAVI PEREIRA,5
JORGE FERNANDO HERMIDA AVEIRO,1
JORGE GABRIEL GOMES DE SOUZA RAMOS,5
JOSE AMANCIO TONEZZI RODRIGUES PEREIRA,5
JOSE ANTAO BELTRAO MOURA,1
JOSE AUGUSTO DE OLIVEIRA NETO,2
JOSE CAZUZA DE FARIAS JUNIOR,4
JOSE CEZARIO DE ALMEIDA,1
JOSE DANTAS NETO,12
JOSE DE ARIMATEIA FERNANDES,1
JOSE DOMINGOS RIBEIRO NETO,4
JOSE EDILSON DE AMORIM,4
JOSE ERNESTO PIMENTEL FILHO,2
JOSE ETHAM DE LUCENA BARBOSA,9
JOSE FABIO PAULINO DE MOURA,2
JOSE FELIX DE BRITO NETO,1
JOSE FERNANDO LEITE AIRES,1
JOSE FERRARI NETO,12
JOSE FIDELES FILHO,2
JOSE GERMANO VERAS NETO,1
JOSE HELDER PINHEIRO ALVES,6
JOSE HUMBERTO VILAR DA SILVA,12
JOSE IRANILDO MIRANDA DE MELO,2
JOSE IRIVALDO ALVES DE OLIVEIRA SILVA,1
JOSE IVALDO BARBOSA DE BRITO,6
JOSE JAILSON NICACIO ALVES,5
JOSE JAMILTON RODRIGUES DOS SANTOS,2
JOSE JASSUIPE DA SILVA MORAIS,2
JOSE JOAO LELIS LEAL DE SOUZA,2
JOSE JOELSON PIMENTEL DE ALMEIDA,9
JOSE JORDAO FILHO,2
JOSE LAMARTINE DA COSTA BARBOSA,4
JOSE LEONARDO ROLIM DE LIMA SEVERO,1
JOSE LUCIANO ALBINO BARBOSA,5
JOSE LUIZ DE BRITO ALVES,5
JOSE MARCIANO MONTEIRO,2
JOSE MARIA BARBOSA FILHO,5
JOSE MARIA DE JESUS IZQUIERDO VILLOTA,10
JOSE MARIA PEREIRA DA NOBREGA JUNIOR,3
JOSE MAURICIO ALVES DE MATOS GURGEL,3
JOSE MAURO MATHEUS LOUREIRO,3
JOSE MORAIS PEREIRA FILHO,4
JOSE NILTON SILVA,1
JOSE PINHEIRO LOPES NETO,12
